"Gene","FXS-D56-BPN-1","FXS-D56-BPN-2","FXS-D56-BPN-3","FXSB2-D56-BPN-1","FXSB2-D56-BPN-2","FXSB2-D56-BPN-3","SO10C3-D56-BPN-1","SO10C3-D56-BPN-2","SO10C3-D56-BPN-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"GPER1",-0.1749435644061,0.148171450936565,0.0263778433435293,0.0460443935707264,-0.147035562216348,0.0538372876731881,0.0940365363872733,0.1915675298918,0.10056667719768,0.224251370707128,0.147885669640179,0.225968050446527,0.143802397278013,0.0333126717621672,-0.217167227910221,-0.204402978108571,-0.290488284442863,0.00585448203696171,0.104018949859626,-0.0198561279407921,-0.0432991493329702,0.0495391793724922,-0.045242220314802,-0.126682871525857,-0.128677710689016,-0.0423639430296125,-0.155074850186696
"SFRP1",1.61246178319865,1.62381364067505,1.56192294289893,-0.706165201496161,-0.757184697008242,-0.729421406948207,-0.852666327143085,-0.898956260465978,-0.910940047099485,0.459305745640615,0.478330474667803,0.431313961631322,0.374937533236094,0.441695127858694,0.382384485778594,-1.20018716478947,-1.25326574518629,-1.19729950049827,1.19063143821537,1.2865548117422,1.16041207792776,-0.476833837215603,-0.552314244486061,-0.427605430460105,-0.303965855282147,-0.431597741247824,-0.305360564144245
"NRIP1",0.501790726802247,0.410855296978943,0.468898116074373,-0.101995086210577,-0.174231851911552,-0.124263482983752,-0.490567781820548,-0.446694872661634,-0.365404360906897,0.413088064418153,0.259575294192082,0.385528298510092,-0.287523277070168,-0.0310351696400382,-0.00159894494018431,-0.408342442412176,-0.31405787520748,-0.278516025677094,0.314689706658884,0.41924790286855,0.162496899859093,0.112111340863047,0.0771947455337063,0.186627860121265,-0.271329126371601,-0.190346024609937,-0.226197930456792
"RAMP3",-0.0933590312157948,0.179703563751329,-0.0933590312157948,-0.0933590312157948,-0.0933590312157948,-0.0933590312157948,0.118707785996866,-0.0933590312157948,0.200583737422138,-0.0933590312157948,0.179581891951702,0.184313676899491,-0.0933590312157948,-0.0933590312157948,-0.0933590312157948,0.117309427801633,-0.0933590312157948,-0.0933590312157948,0.104576056395524,-0.0933590312157948,0.34205063964485,-0.0933590312157948,-0.0933590312157948,-0.0933590312157948,-0.0933590312157948,-0.0933590312157948,0.253635782020753
"AIFM1",0.119586012182207,0.0251455018411644,0.0115712896131264,0.071361465061262,-0.06926091298957,0.110454262635113,0.0269170501078619,-0.148653056549682,0.00258225595362127,-0.0366103809454597,-0.0303887806693446,-0.0523070418308436,0.0513070809634151,-0.112947715645518,-0.0470217206632597,0.030411156336589,-0.081830199328758,-0.13879947945067,0.0360534112215465,0.0342197863609002,0.211465728977414,0.12392303459573,0.050443442906607,0.0861662455655132,-0.106593304122999,-0.0504160799416127,-0.116779052184315
"RUVBL2",-0.0372947486134265,-0.0122165711141413,0.0843822109327288,0.000554080571578908,0.0876426575790088,0.044397533286558,0.146683597889217,-0.0645015086257104,0.00313105837540917,-0.0209211742956494,0.0401027426446774,0.0410849799892929,0.0871626148413629,-0.0542968988902519,-0.0960459469631161,0.0644977772942443,0.00168085166438203,-0.0637999359877597,0.0316609286132774,-0.141330889346282,0.0934490852958234,0.131804025451324,-0.00927625906600404,-0.0451764850454381,-0.125813127883827,-0.0896002999578123,-0.0979602986394266
"KAT5",0.162164523390043,0.06563748754842,-0.0872756930179293,-0.136292279077306,-0.0513786553233171,0.0850606809334575,0.127464589499201,-0.0152487011000133,0.0496137937335313,-0.163655052792169,-0.202571977798245,-0.207405639116073,0.167156354062621,0.0337240760827253,0.057996358348964,0.0306438822929493,0.0409331236141988,0.0895444606212266,0.118323360605901,0.0104073061962495,0.0203087071457322,0.00554547802333083,0.0116243214703804,-0.0960288878657902,-0.00970452946924816,0.0651373773379742,-0.171724465346813
"LCOR",0.127240192876076,0.144154833258364,0.081200046435816,0.0161128368747363,0.0614403421010863,-0.000517454710964316,0.0608907266343106,0.104769358518389,0.062137339786922,-0.340016820364941,-0.422618866522511,-0.425034885320215,-0.385197775378664,-0.0575342266514163,-0.0249275023376399,-0.116749624197272,-0.0360711922011046,-0.0960585896540849,0.181456107378565,0.289974309587542,-0.0564059394717393,0.0558786533042337,0.160643989803216,0.129369289180435,0.204919520120828,0.15788641254751,0.123058918402627
"CFLAR",0.0573330882948255,0.0941469905945098,0.093274931958037,0.105823006048345,0.138288270744907,0.15319892900953,0.0735922837439276,-0.103439923750575,-0.0420844618585825,-0.65866409559791,-0.759950511093662,-0.747440842459531,0.02170084699158,0.0439286902306772,0.129114900317619,0.150026163721153,0.0134385534856047,0.0487967360607353,0.14336145415326,0.300448023835598,0.186956104801567,0.180387155998289,0.22618117789925,0.148250713584948,0.022339224261323,0.0804182190429277,-0.0994256300183718
"POU4F2",0.115708825474805,0.433263482066014,0.214846318479001,-0.106742233327997,-0.10430971731303,-0.257243246730554,0.144081252426975,0.332341767177727,0.270438621134341,-0.47079735317259,-0.456244014964012,-0.375389780220385,-0.336584581742397,-0.117962642929841,-0.0273126495620524,0.156777857616371,0.300034518064576,0.13510943739027,0.0787454905437874,-0.090153452065973,0.147720527088806,-0.25610296890692,-0.328749137079932,-0.205635178121089,0.286119486319199,0.290506754729835,0.227532617625073
