"Gene","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3","FXS-D56-BP-1","FXS-D56-BP-2","FXS-D56-BP-3","FXSB2-D56-BP-1","FXSB2-D56-BP-2","FXSB2-D56-BP-3","SO10C3-D56-BP-1","SO10C3-D56-BP-2","SO10C3-D56-BP-3"
"CD52",-0.0575674911118185,-0.0575674911118185,-0.0575674911118185,0.088001205247541,-0.0575674911118185,-0.0575674911118185,0.0914637180276205,-0.0575674911118185,-0.0575674911118185,-0.0575674911118185,0.2993202609123,-0.0575674911118185,-0.0575674911118185,-0.0575674911118185,-0.0575674911118185,-0.0575674911118185,0.139129631506699,-0.0575674911118185,-0.0575674911118185,0.137223948429104,-0.0575674911118185,0.0908283543183535,0.156181707104481,-0.0575674911118185,-0.0575674911118185,0.0916335055784563,-0.0575674911118185
"RAC3",-0.171205346105921,-0.209180727702728,-0.182395000877678,0.292499000456875,8.65765167592514e-05,0.103338199929521,-0.328059772160811,-0.440395512356391,-0.498705393099247,0.0995111546630856,0.0315969962248079,0.104564180538345,0.213172148953666,0.0751822238334352,0.189567491796346,-0.116913850508935,-0.0458250291559477,-0.145828140495697,0.126058070238281,0.130940294044853,0.0244529745999298,0.209777924240823,0.113993160970734,0.262897290040423,-0.0410284997405554,0.0714989252422846,0.130400659913844
"CAMK1D",0.0414878956638791,0.0669560198459553,0.0482051374837837,-0.103769776142071,-0.0887169722152699,-0.19123965367567,-0.331753994568267,-0.242499848222947,-0.332352864570105,0.18236486149573,0.117182385739161,0.100748839670409,0.122192418440406,0.118341133247483,0.116468400139025,-0.155822840970709,-0.111532215859242,-0.171950300864834,0.214906787725731,0.228785583842111,0.263845999482964,0.291166118799204,0.215787068542829,0.313988588952181,-0.177339204203355,-0.274168048938694,-0.261281518839658
"CLEC7A",0.215657519850216,-0.0162090616889206,-0.0162090616889206,0.189569022372784,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206,-0.0162090616889206
"LBP",0.117993859758203,0.16506945530032,0.125103317788689,0.134385863897116,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,0.140189158815792,0.136858685381187,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,0.173439119606503,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,0.214211725889115,-0.0713922201645891,0.0778087765256856,-0.0713922201645891
"CYBA",0.661819222525253,0.617753911790185,0.531164010983902,0.0349387287902747,-0.0565279843977979,0.209333658383512,0.215119683916042,0.212777046242509,0.296005895795112,-0.161009608030811,-0.396163242151397,-0.147571695429443,-0.397637827777459,-0.343279390638571,-0.238913966518101,-0.0298950399617333,-0.0251510537345947,-0.197868007541485,0.000443965909452615,-0.211561398676517,-0.169498758960602,-0.0728347165594414,-0.355385697714768,-0.156053560152664,0.0260670272209005,0.0863293341735236,0.0675994625147709
"LGALS3",0.711144511666076,0.807131466535383,0.779545824918662,-0.113294848946777,-0.112583526665875,-0.184265343648373,-0.171139004765371,0.0265565132725367,-0.166196303543792,-0.133722225292814,-0.158935553155599,-0.112848593112212,-0.0780121545147532,-0.0864706156834005,-0.123824010800569,-0.176771671188449,-0.186611664624998,0.141826346296792,-0.116986891154949,-0.0528318707220405,-0.0534516272577612,-0.083327422957308,-0.269596531822352,0.0903573252173189,0.0728598035874821,-0.0610810296542885,-0.187470901982552
"CD55",0.215278967910988,0.257880195068292,0.343228698316592,-0.145031733241137,-0.0153525851249103,-0.0988062953185906,0.0785897804093061,0.0100222878184937,0.00873275200564194,-0.497145952007697,-0.550159412987847,-0.378264152277646,0.208077995621444,0.178292270502684,0.0856675773286071,0.380526110659133,0.341886474746412,0.362309988705315,-0.386388565424928,-0.462934761852337,-0.552408623117589,-0.0896645738011355,-0.00411988873980462,0.0361158714800389,0.181055723743921,0.283869964607824,0.208741884968971
"TREM2",0.0753920165171573,-0.113994063405634,-0.113994063405634,0.0917840206560703,0.0824717749091359,-0.113994063405634,-0.113994063405634,0.251823342477457,-0.113994063405634,-0.113994063405634,-0.113994063405634,-0.113994063405634,0.172124635723401,0.0909875033650618,-0.113994063405634,0.331766085566652,0.163963071065618,0.0866649460385762,-0.113994063405634,-0.113994063405634,-0.113994063405634,-0.113994063405634,-0.113994063405634,0.0881230284361543,0.177832078813315,-0.113994063405634,0.0969784475158653
"MPO",0.137429401763145,0.00301359279060787,0.14968880650859,-0.190128472866265,0.149637601383745,0.0947739626467579,-0.190128472866265,0.0214529061141162,-0.190128472866265,0.0078066147450544,-0.190128472866265,-0.190128472866265,-0.190128472866265,-0.0451237116215237,-0.190128472866265,0.317517424012961,-0.190128472866265,0.0934184214450307,0.227924791008452,0.00466296667465738,0.126443814704829,-0.190128472866265,0.179423546011988,0.213122390716275,0.0163993571925678,-0.190128472866265,0.203692842565385
