"Gene","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3","FXS-D56-BP-1","FXS-D56-BP-2","FXS-D56-BP-3","FXSB2-D56-BP-1","FXSB2-D56-BP-2","FXSB2-D56-BP-3","SO10C3-D56-BP-1","SO10C3-D56-BP-2","SO10C3-D56-BP-3"
"TICAM1",0.28896085571615,-0.0828467470464682,0.241512543559312,0.134529949750787,0.276743247868664,0.00891362280968178,0.169531240971892,-0.0644074337229599,0.139437970446702,-0.0780537250920217,-0.0695898555356536,-0.0701295430437625,0.0101298864256947,-0.0710072459326447,-0.275988812703341,0.00660543219607668,-0.0792916900848235,0.192911095130196,-0.275988812703341,-0.000720559596469883,-0.0755302827287014,-0.066217704696764,-0.275988812703341,0.217096431988977,-0.0694609826445083,-0.275988812703341,0.144838744073988
"CD55",0.215278967910988,0.257880195068292,0.343228698316592,-0.145031733241137,-0.0153525851249103,-0.0988062953185906,0.0785897804093061,0.0100222878184937,0.00873275200564194,-0.497145952007697,-0.550159412987847,-0.378264152277646,0.208077995621444,0.178292270502684,0.0856675773286071,0.380526110659133,0.341886474746412,0.362309988705315,-0.386388565424928,-0.462934761852337,-0.552408623117589,-0.0896645738011355,-0.00411988873980462,0.0361158714800389,0.181055723743921,0.283869964607824,0.208741884968971
"SASH1",0.0535386194914533,0.0823502786132888,0.0677707447368014,0.217760065832358,0.365751166511382,0.288522739405634,0.115971241908701,0.136215384262519,0.133601279812648,-0.247121029444701,-0.244377765191855,-0.478209598915292,0.0272779637615095,0.0932288735983349,0.131682363199157,0.134717861885589,0.148583773540439,0.178805366270069,-0.447829634149395,-0.593983052224191,-0.615758620172677,0.0395574196064565,0.0690708377663913,0.00151166749115461,0.084737165558149,0.146198196531964,0.110426690314164
"SIGIRR",0.124634138446588,0.174871428123764,0.0692345580861611,0.00109423972659251,-0.16189130306361,-0.0104677463560154,0.115115972845834,-0.0615647321842507,-0.0696172068052343,-0.379606264654121,-0.192221157271693,0.0685817746105988,-0.227404330690001,0.181296867145319,0.11289463785688,0.271025188818907,-0.0241654650687675,-0.0879850832996283,-0.215181838111134,-0.143284759277913,0.051870687579135,-0.0254255329493818,0.12506893399531,0.221342330376568,-0.117290879910913,0.131172763843439,0.0679027781875909
"LBP",0.117993859758203,0.16506945530032,0.125103317788689,0.134385863897116,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,0.140189158815792,0.136858685381187,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,0.173439119606503,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,-0.0713922201645891,0.214211725889115,-0.0713922201645891,0.0778087765256856,-0.0713922201645891
"NFKBIL1",-0.130762753565175,-0.081934428258732,-0.105428512611663,0.208338682184738,-0.029240112254616,0.0197729149086321,0.39947770971821,0.30587733196222,0.436744885953718,-0.0753524625897839,-0.243526632450036,0.0609524904498961,0.0036843817599852,0.0155391180818345,-0.0817801158858558,-0.123188195342593,-0.0527584463537227,-0.103455470630665,-0.0931524440026053,-0.149013080119357,-0.120013913709636,0.150014739924348,-0.0289569544967012,0.140451712968215,-0.158602793757133,-0.0650008965976809,-0.0986867552858044
"SCARB1",0.0229178837117843,0.0570818347035775,0.0686109420570507,0.189565561822384,0.0477174751855962,0.0597300452253418,0.218929841306307,0.336904856965974,0.446874820951535,-0.197914406516896,-0.0650286851962818,-0.0501143718242272,-0.0594846733970567,0.0774664520324535,0.0383021529434355,-0.158057120561628,-0.268486103263861,0.0236906132364041,-0.152807811418699,-0.0979235691337639,-0.156665830692537,0.0925344776007488,-0.0114256839876674,0.0162585945965503,-0.110124051173145,-0.238787210083396,-0.129766035090011
"BCL10",-0.0610194563259441,0.0615208176138786,-0.106329592382636,0.104430037024718,0.0923400586646892,0.153816506590589,0.453137179368575,0.557493482213854,0.460340531534216,-0.282126174691205,-0.0997091210706387,-0.0372163038381039,0.0515551850878477,0.035106923097624,0.116791887325469,-0.187133405437946,-0.269470071286761,-0.277120686828217,-0.0871240942098126,-0.0199722225786125,-0.0246531600650748,-0.164245090864785,0.048959039947249,0.0896127899095944,-0.0897299528972013,-0.208808071656874,-0.310447034244394
"MALT1",-0.021212215909614,-0.0763859202500967,-0.0104640398540088,-0.140184498633445,0.0333212749259406,-0.0195050680973718,0.151633589741699,0.297102257308833,0.27969046227321,-0.209059762622195,-0.0433761897531788,-0.203298470315618,0.207638269319888,0.162595923838113,0.138598519307996,-0.0235617460862105,-0.029302139172847,-0.123489379402782,-0.17532560475092,-0.13571907785632,-0.131042721396383,0.034765362119451,0.138866833924075,0.110793285247773,-0.0484233896208881,0.0125894476223358,-0.177245001907474
"TRIM5",0.0645486900186434,0.0834815672645632,0.107702185369394,0.66187857639912,0.653629214038991,0.705629167916562,0.228382132313149,0.230299794577398,0.147028099565269,-0.335854767155269,-0.481790084715882,-0.397950869030739,0.459131198602355,0.474353530007525,0.480744439074725,-0.221843787900177,-0.441030252129,-0.272174949657506,-0.572245112507147,-0.720948756131419,-0.614115584737522,0.308033784628535,0.214699446749865,0.454585694653035,-0.430034760381488,-0.384713221522054,-0.401425375310943
